ID операции;Дата;Адрес магазина;Район магазина;Артикул;Название товара;Отдел товара;Количество упаковок, шт.;Операция;Цена руб./шт.
1;01.06.2021;просп. Мира, 45;Октябрьский;4;Кефир 3,2%;Молоко;180;Поступление;75
2;01.06.2021;просп. Мира, 45;Октябрьский;4;Кефир 3,2%;Молоко;180;Продажа;75
3;01.06.2021;просп. Мира, 45;Октябрьский;5;Кефир обезжиренный;Молоко;180;Поступление;70
4;01.06.2021;просп. Мира, 45;Октябрьский;5;Кефир обезжиренный;Молоко;170;Продажа;70
5;01.06.2021;просп. Мира, 45;Октябрьский;6;Ряженка термостатная;Молоко;180;Поступление;50
6;01.06.2021;просп. Мира, 45;Октябрьский;6;Ряженка термостатная;Молоко;180;Продажа;50
7;01.06.2021;просп. Мира, 45;Октябрьский;9;Сметана 15%;Молоко;180;Поступление;55
8;01.06.2021;просп. Мира, 45;Октябрьский;9;Сметана 15%;Молоко;150;Продажа;55
9;01.06.2021;просп. Мира, 45;Октябрьский;10;Сметана 25%;Молоко;180;Поступление;70
10;01.06.2021;просп. Мира, 45;Октябрьский;10;Сметана 25%;Молоко;150;Продажа;70
11;01.06.2021;просп. Мира, 45;Октябрьский;13;Творог 9% жирности;Молоко;170;Поступление;60
12;01.06.2021;просп. Мира, 45;Октябрьский;13;Творог 9% жирности;Молоко;120;Продажа;60
13;01.06.2021;просп. Мира, 45;Октябрьский;18;Крупа манная;Бакалея;180;Поступление;49
14;01.06.2021;просп. Мира, 45;Октябрьский;18;Крупа манная;Бакалея;80;Продажа;49
15;01.06.2021;просп. Мира, 45;Октябрьский;24;Макароны спагетти ;Бакалея;180;Поступление;50
16;01.06.2021;просп. Мира, 45;Октябрьский;24;Макароны спагетти ;Бакалея;159;Продажа;50
17;01.06.2021;просп. Мира, 45;Октябрьский;25;Макароны вермишель;Бакалея;170;Поступление;52
18;01.06.2021;просп. Мира, 45;Октябрьский;25;Макароны вермишель;Бакалея;159;Продажа;52
19;01.06.2021;просп. Мира, 45;Октябрьский;26;Макароны рожки;Бакалея;180;Поступление;47
20;01.06.2021;просп. Мира, 45;Октябрьский;26;Макароны рожки;Бакалея;159;Продажа;47
21;01.06.2021;просп. Мира, 45;Октябрьский;27;Макароны перья;Бакалея;180;Поступление;45
22;01.06.2021;просп. Мира, 45;Октябрьский;27;Макароны перья;Бакалея;159;Продажа;45
23;01.06.2021;просп. Мира, 45;Октябрьский;28;Сахар песок белый;Бакалея;180;Поступление;38
24;01.06.2021;просп. Мира, 45;Октябрьский;28;Сахар песок белый;Бакалея;133;Продажа;38
25;01.06.2021;просп. Мира, 45;Октябрьский;29;Сахар демерара коричневый;Бакалея;180;Поступление;85
26;01.06.2021;просп. Мира, 45;Октябрьский;29;Сахар демерара коричневый;Бакалея;27;Продажа;85
27;01.06.2021;просп. Мира, 45;Октябрьский;30;Сахар рафинад быстрорастворимый;Бакалея;170;Поступление;44
28;01.06.2021;просп. Мира, 45;Октябрьский;30;Сахар рафинад быстрорастворимый;Бакалея;106;Продажа;44
29;01.06.2021;просп. Мира, 45;Октябрьский;33;Мука хлебопекарная в\с;Бакалея;180;Поступление;50
30;01.06.2021;просп. Мира, 45;Октябрьский;33;Мука хлебопекарная в\с;Бакалея;106;Продажа;50
